0 SignedUp 1669399076.903159
0 loggedIn 1669399077.609794
1 SignedUp 1669399078.697894
1 loggedIn 1669399079.422211
2 SignedUp 1669399080.499586
2 loggedIn 1669399081.218383
3 SignedUp 1669399082.391074
3 loggedIn 1669399083.100595
4 SignedUp 1669399084.244515
4 loggedIn 1669399084.966148
4 sentTextTo 4 1669399084.986181
4 receivedTextFrom 4 1669399084.987982
4 sentTextTo 4 1669399085.00907
4 receivedTextFrom 4 1669399085.011669
4 sentTextTo 4 1669399085.032852
4 receivedTextFrom 4 1669399085.034689
3 sentTextTo 1 1669399085.061118
1 receivedTextFrom 3 1669399085.067062
3 sentTextTo 1 1669399085.079958
1 receivedTextFrom 3 1669399085.081999
3 sentTextTo 1 1669399085.101972
1 receivedTextFrom 3 1669399085.104014
3 sentTextTo 3 1669399085.124594
3 receivedTextFrom 3 1669399085.126467
3 sentTextTo 3 1669399085.147334
3 receivedTextFrom 3 1669399085.149103
3 sentTextTo 3 1669399085.169909
3 receivedTextFrom 3 1669399085.171653
0 sentTextTo 4 1669399085.196828
4 receivedTextFrom 0 1669399085.198862
0 sentTextTo 4 1669399085.21801
4 receivedTextFrom 0 1669399085.219958
0 sentTextTo 4 1669399085.240001
4 receivedTextFrom 0 1669399085.242163
0 sentTextTo 3 1669399085.260143
3 receivedTextFrom 0 1669399085.262125
0 sentTextTo 3 1669399085.281239
3 receivedTextFrom 0 1669399085.283147
0 sentTextTo 3 1669399085.302451
3 receivedTextFrom 0 1669399085.305168
1 sentTextTo 3 1669399085.32427
3 receivedTextFrom 1 1669399085.326249
1 sentTextTo 3 1669399085.345267
3 receivedTextFrom 1 1669399085.34725
1 sentTextTo 3 1669399085.368207
3 receivedTextFrom 1 1669399085.3701
2 sentTextTo 0 1669399085.394032
0 receivedTextFrom 2 1669399085.396423
2 sentTextTo 0 1669399085.414582
0 receivedTextFrom 2 1669399085.416587
2 sentTextTo 0 1669399085.43707
0 receivedTextFrom 2 1669399085.439673
2 sentTextTo 0 1669399085.459681
0 receivedTextFrom 2 1669399085.461974
2 sentTextTo 0 1669399085.479958
0 receivedTextFrom 2 1669399085.481919
2 sentTextTo 0 1669399085.501022
0 receivedTextFrom 2 1669399085.502897
4 sentTextTo 0 1669399085.523728
0 receivedTextFrom 4 1669399085.525736
4 sentTextTo 0 1669399085.543557
0 receivedTextFrom 4 1669399085.545426
4 sentTextTo 0 1669399085.564715
0 receivedTextFrom 4 1669399085.56661
3 sentTextTo 2 1669399085.587586
2 receivedTextFrom 3 1669399085.590526
3 sentTextTo 2 1669399085.609431
2 receivedTextFrom 3 1669399085.611508
3 sentTextTo 2 1669399085.630415
2 receivedTextFrom 3 1669399085.632449
2 sentTextTo 1 1669399085.652906
1 receivedTextFrom 2 1669399085.656365
2 sentTextTo 1 1669399085.674239
1 receivedTextFrom 2 1669399085.676347
2 sentTextTo 1 1669399085.694822
1 receivedTextFrom 2 1669399085.696812
1 sentTextTo 4 1669399085.716471
4 receivedTextFrom 1 1669399085.718416
1 sentTextTo 4 1669399085.735578
4 receivedTextFrom 1 1669399085.737565
1 sentTextTo 4 1669399085.755305
4 receivedTextFrom 1 1669399085.757328
4 sentTextTo 0 1669399085.777963
0 receivedTextFrom 4 1669399085.780066
4 sentTextTo 0 1669399085.798567
