0 SignedUp 1669398035.831509
0 loggedIn 1669398036.55928
1 SignedUp 1669398038.021882
1 loggedIn 1669398038.736737
2 SignedUp 1669398039.865281
2 loggedIn 1669398040.573203
3 SignedUp 1669398041.788969
3 loggedIn 1669398042.499015
4 SignedUp 1669398043.662855
4 loggedIn 1669398044.38407
2 sentTextTo 1 1669398044.408019
1 receivedTextFrom 2 1669398044.413726
2 sentTextTo 1 1669398044.42961
1 receivedTextFrom 2 1669398044.431536
2 sentTextTo 1 1669398044.451719
1 receivedTextFrom 2 1669398044.453868
0 sentTextTo 4 1669398044.477793
4 receivedTextFrom 0 1669398044.482698
0 sentTextTo 4 1669398044.49918
4 receivedTextFrom 0 1669398044.501257
0 sentTextTo 4 1669398044.521297
4 receivedTextFrom 0 1669398044.523386
0 sentTextTo 2 1669398044.543893
2 receivedTextFrom 0 1669398044.545917
0 sentTextTo 2 1669398044.565156
2 receivedTextFrom 0 1669398044.567033
0 sentTextTo 2 1669398044.58629
2 receivedTextFrom 0 1669398044.588093
0 sentTextTo 4 1669398044.608726
4 receivedTextFrom 0 1669398044.610736
0 sentTextTo 4 1669398044.629435
4 receivedTextFrom 0 1669398044.631306
0 sentTextTo 4 1669398044.650408
4 receivedTextFrom 0 1669398044.652383
4 sentTextTo 2 1669398044.671616
2 receivedTextFrom 4 1669398044.673582
4 sentTextTo 2 1669398044.692859
2 receivedTextFrom 4 1669398044.694848
4 sentTextTo 2 1669398044.714677
2 receivedTextFrom 4 1669398044.716696
3 sentTextTo 1 1669398044.740322
1 receivedTextFrom 3 1669398044.742343
3 sentTextTo 1 1669398044.761438
1 receivedTextFrom 3 1669398044.7634
3 sentTextTo 1 1669398044.783352
1 receivedTextFrom 3 1669398044.785339
3 sentTextTo 2 1669398044.804913
2 receivedTextFrom 3 1669398044.806816
3 sentTextTo 2 1669398044.824289
2 receivedTextFrom 3 1669398044.826353
3 sentTextTo 2 1669398044.845409
2 receivedTextFrom 3 1669398044.847344
1 sentTextTo 2 1669398044.868236
2 receivedTextFrom 1 1669398044.870208
1 sentTextTo 2 1669398044.889192
2 receivedTextFrom 1 1669398044.892276
1 sentTextTo 2 1669398044.911245
2 receivedTextFrom 1 1669398044.91322
4 sentTextTo 4 1669398044.93358
4 receivedTextFrom 4 1669398044.935355
4 sentTextTo 4 1669398044.956371
4 receivedTextFrom 4 1669398044.958288
4 sentTextTo 4 1669398044.979241
4 receivedTextFrom 4 1669398044.98108
2 sentTextTo 3 1669398045.003766
3 receivedTextFrom 2 1669398045.005635
2 sentTextTo 3 1669398045.024845
3 receivedTextFrom 2 1669398045.026805
2 sentTextTo 3 1669398045.046093
3 receivedTextFrom 2 1669398045.048169
2 sentTextTo 1 1669398045.068393
1 receivedTextFrom 2 1669398045.070311
2 sentTextTo 1 1669398045.088937
1 receivedTextFrom 2 1669398045.091558
2 sentTextTo 1 1669398045.11014
1 receivedTextFrom 2 1669398045.112151
1 sentTextTo 0 1669398045.132704
0 receivedTextFrom 1 1669398045.134784
1 sentTextTo 0 1669398045.1536
