0 SignedUp 1669396783.812443
0 loggedIn 1669396784.323946
1 SignedUp 1669396785.155509
1 loggedIn 1669396785.684243
2 SignedUp 1669396786.619579
2 loggedIn 1669396787.162385
3 SignedUp 1669396788.022748
3 loggedIn 1669396788.573241
4 SignedUp 1669396789.50445
4 loggedIn 1669396790.051951
0 sentTextTo 1 1669396790.070876
1 receivedTextFrom 0 1669396790.07466
0 sentTextTo 1 1669396790.091679
1 receivedTextFrom 0 1669396790.093156
0 sentTextTo 1 1669396790.113655
1 receivedTextFrom 0 1669396790.115285
0 sentTextTo 1 1669396790.134388
1 receivedTextFrom 0 1669396790.135998
0 sentTextTo 1 1669396790.155019
1 receivedTextFrom 0 1669396790.15651
0 sentTextTo 1 1669396790.17545
1 receivedTextFrom 0 1669396790.176947
0 sentTextTo 1 1669396790.196238
1 receivedTextFrom 0 1669396790.197818
0 sentTextTo 1 1669396790.217001
1 receivedTextFrom 0 1669396790.21859
0 sentTextTo 1 1669396790.237728
1 receivedTextFrom 0 1669396790.239203
0 sentTextTo 1 1669396790.257948
1 receivedTextFrom 0 1669396790.259379
0 sentTextTo 2 1669396790.27958
2 receivedTextFrom 0 1669396790.28329
0 sentTextTo 2 1669396790.300233
2 receivedTextFrom 0 1669396790.301811
0 sentTextTo 2 1669396790.31923
2 receivedTextFrom 0 1669396790.32072
0 sentTextTo 2 1669396790.339021
2 receivedTextFrom 0 1669396790.34048
0 sentTextTo 2 1669396790.359749
2 receivedTextFrom 0 1669396790.361212
0 sentTextTo 2 1669396790.378119
2 receivedTextFrom 0 1669396790.379678
0 sentTextTo 2 1669396790.398768
2 receivedTextFrom 0 1669396790.400261
0 sentTextTo 2 1669396790.419217
2 receivedTextFrom 0 1669396790.42066
0 sentTextTo 2 1669396790.439824
2 receivedTextFrom 0 1669396790.441423
0 sentTextTo 2 1669396790.459375
2 receivedTextFrom 0 1669396790.460928
0 sentTextTo 3 1669396790.481101
3 receivedTextFrom 0 1669396790.484743
0 sentTextTo 3 1669396790.501831
3 receivedTextFrom 0 1669396790.503306
0 sentTextTo 3 1669396790.522231
3 receivedTextFrom 0 1669396790.523766
0 sentTextTo 3 1669396790.542761
3 receivedTextFrom 0 1669396790.544224
0 sentTextTo 3 1669396790.563285
3 receivedTextFrom 0 1669396790.564715
0 sentTextTo 3 1669396790.583859
3 receivedTextFrom 0 1669396790.585225
0 sentTextTo 3 1669396790.604314
3 receivedTextFrom 0 1669396790.60573
