0 SignedUp 1669396680.283619
0 loggedIn 1669396680.976848
1 SignedUp 1669396682.019862
1 loggedIn 1669396682.69855
2 SignedUp 1669396683.939493
2 loggedIn 1669396684.62348
3 SignedUp 1669396685.722421
3 loggedIn 1669396686.416848
4 SignedUp 1669396687.525601
4 loggedIn 1669396688.204867
2 sentTextTo 2 1669396688.225637
2 receivedTextFrom 2 1669396688.227372
2 sentTextTo 2 1669396688.248218
2 receivedTextFrom 2 1669396688.250592
2 sentTextTo 2 1669396688.271523
2 receivedTextFrom 2 1669396688.273198
1 sentTextTo 4 1669396688.29887
4 receivedTextFrom 1 1669396688.303566
1 sentTextTo 4 1669396688.319878
4 receivedTextFrom 1 1669396688.32155
1 sentTextTo 4 1669396688.340743
4 receivedTextFrom 1 1669396688.342557
0 sentTextTo 4 1669396688.365562
4 receivedTextFrom 0 1669396688.367422
0 sentTextTo 4 1669396688.386973
4 receivedTextFrom 0 1669396688.38882
0 sentTextTo 4 1669396688.408538
4 receivedTextFrom 0 1669396688.41035
1 sentTextTo 0 1669396688.431014
0 receivedTextFrom 1 1669396688.433114
1 sentTextTo 0 1669396688.452054
0 receivedTextFrom 1 1669396688.453874
1 sentTextTo 0 1669396688.473363
0 receivedTextFrom 1 1669396688.47514
3 sentTextTo 2 1669396688.498099
2 receivedTextFrom 3 1669396688.499946
3 sentTextTo 2 1669396688.519368
2 receivedTextFrom 3 1669396688.521166
3 sentTextTo 2 1669396688.540979
2 receivedTextFrom 3 1669396688.542787
4 sentTextTo 4 1669396688.563699
4 receivedTextFrom 4 1669396688.565653
4 sentTextTo 4 1669396688.58598
4 receivedTextFrom 4 1669396688.587856
4 sentTextTo 4 1669396688.60932
4 receivedTextFrom 4 1669396688.611034
0 sentTextTo 4 1669396688.633375
4 receivedTextFrom 0 1669396688.63625
0 sentTextTo 4 1669396688.654345
4 receivedTextFrom 0 1669396688.656166
0 sentTextTo 4 1669396688.674519
4 receivedTextFrom 0 1669396688.676494
0 sentTextTo 3 1669396688.696934
3 receivedTextFrom 0 1669396688.698966
0 sentTextTo 3 1669396688.71647
3 receivedTextFrom 0 1669396688.718214
0 sentTextTo 3 1669396688.73697
3 receivedTextFrom 0 1669396688.738778
0 sentTextTo 3 1669396688.757948
3 receivedTextFrom 0 1669396688.759952
0 sentTextTo 3 1669396688.778947
3 receivedTextFrom 0 1669396688.780633
0 sentTextTo 3 1669396688.799768
3 receivedTextFrom 0 1669396688.801511
0 sentTextTo 4 1669396688.821829
4 receivedTextFrom 0 1669396688.823859
0 sentTextTo 4 1669396688.842764
4 receivedTextFrom 0 1669396688.844622
0 sentTextTo 4 1669396688.863626
4 receivedTextFrom 0 1669396688.865416
2 sentTextTo 0 1669396688.886154
0 receivedTextFrom 2 1669396688.888015
2 sentTextTo 0 1669396688.907279
0 receivedTextFrom 2 1669396688.909145
2 sentTextTo 0 1669396688.928339
0 receivedTextFrom 2 1669396688.930147
4 sentTextTo 0 1669396688.950909
0 receivedTextFrom 4 1669396688.953518
4 sentTextTo 0 1669396688.971941
0 receivedTextFrom 4 1669396688.973746
4 sentTextTo 0 1669396688.992922
0 receivedTextFrom 4 1669396688.994796
0 sentTextTo 0 1669396689.01495
0 receivedTextFrom 0 1669396689.016756
0 sentTextTo 0 1669396689.036727
0 receivedTextFrom 0 1669396689.038612
0 sentTextTo 0 1669396689.059524
0 receivedTextFrom 0 1669396689.06126
4 sentTextTo 3 1669396689.083481
3 receivedTextFrom 4 1669396689.085711
4 sentTextTo 3 1669396689.103934
3 receivedTextFrom 4 1669396689.105752
4 sentTextTo 3 1669396689.123811
3 receivedTextFrom 4 1669396689.125596
4 sentTextTo 3 1669396689.146198
3 receivedTextFrom 4 1669396689.148213
4 sentTextTo 3 1669396689.166446
3 receivedTextFrom 4 1669396689.168354
4 sentTextTo 3 1669396689.185812
3 receivedTextFrom 4 1669396689.187737
2 sentTextTo 3 1669396689.20837
3 receivedTextFrom 2 1669396689.21048
2 sentTextTo 3 1669396689.229362
3 receivedTextFrom 2 1669396689.231184
2 sentTextTo 3 1669396689.250402
3 receivedTextFrom 2 1669396689.252713
4 sentTextTo 0 1669396689.273066
0 receivedTextFrom 4 1669396689.275215
4 sentTextTo 0 1669396689.293924
0 receivedTextFrom 4 1669396689.295946
4 sentTextTo 0 1669396689.314913
0 receivedTextFrom 4 1669396689.318434
1 sentTextTo 2 1669396689.337451
2 receivedTextFrom 1 1669396689.339301
1 sentTextTo 2 1669396689.358399
2 receivedTextFrom 1 1669396689.360223
1 sentTextTo 2 1669396689.378869
2 receivedTextFrom 1 1669396689.380873
0 sentTextTo 2 1669396689.40013
2 receivedTextFrom 0 1669396689.402965
0 sentTextTo 2 1669396689.421423
2 receivedTextFrom 0 1669396689.423535
0 sentTextTo 2 1669396689.441616
2 receivedTextFrom 0 1669396689.443462
4 sentTextTo 4 1669396689.464195
4 receivedTextFrom 4 1669396689.466009
4 sentTextTo 4 1669396689.486972
4 receivedTextFrom 4 1669396689.488683
4 sentTextTo 4 1669396689.508192
4 receivedTextFrom 4 1669396689.510127
4 sentTextTo 4 1669396689.532316
4 receivedTextFrom 4 1669396689.534192
4 sentTextTo 4 1669396689.555045
4 receivedTextFrom 4 1669396689.556792
